fake_key,real_key,fake_path,real_path,ssim,lpips
00460_11447_00,00460_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00460_11447_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00460_00.jpg,0.764903216867872,0.23152081668376923
00462_03067_00,00462_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00462_03067_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00462_00.jpg,0.7116096192901559,0.31495141983032227
00463_09104_00,00463_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00463_09104_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00463_00.jpg,0.868302211322982,0.1424519419670105
00466_09797_00,00466_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00466_09797_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00466_00.jpg,0.8434877135613593,0.18576732277870178
00468_14473_00,00468_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00468_14473_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00468_00.jpg,0.8352067269184458,0.17974703013896942
00470_04056_00,00470_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00470_04056_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00470_00.jpg,0.7233319226740704,0.2744789123535156
00474_14056_00,00474_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00474_14056_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00474_00.jpg,0.8673584224341951,0.23213499784469604
00475_02388_00,00475_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00475_02388_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00475_00.jpg,0.8406988605320618,0.20257443189620972
00482_12818_00,00482_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00482_12818_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00482_00.jpg,0.8059058570881268,0.31023046374320984
00484_03006_00,00484_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00484_03006_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00484_00.jpg,0.8022996072305348,0.1890423446893692
00494_12982_00,00494_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00494_12982_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00494_00.jpg,0.8096992158638662,0.2459428459405899
00499_10848_00,00499_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00499_10848_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00499_00.jpg,0.8634024343198515,0.15944354236125946
00502_07950_00,00502_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00502_07950_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00502_00.jpg,0.7105581446027621,0.31215476989746094
00503_09199_00,00503_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00503_09199_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00503_00.jpg,0.7951709924017442,0.23566582798957825
00504_10303_00,00504_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00504_10303_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00504_00.jpg,0.8128112080479809,0.1734238564968109
00509_05469_00,00509_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00509_05469_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00509_00.jpg,0.8394468577570992,0.16106224060058594
00518_04471_00,00518_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00518_04471_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00518_00.jpg,0.8991454049675447,0.1988155096769333
00563_06432_00,00563_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00563_06432_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00563_00.jpg,0.9364272877827001,0.08757181465625763
00566_13306_00,00566_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00566_13306_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00566_00.jpg,0.771628317524231,0.2567681074142456
00568_12541_00,00568_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00568_12541_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00568_00.jpg,0.8488499628597209,0.17068591713905334
00579_10549_00,00579_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00579_10549_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00579_00.jpg,0.8539959879797543,0.1377110481262207
00583_13723_00,00583_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00583_13723_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00583_00.jpg,0.8469828486815391,0.1691707968711853
00592_04499_00,00592_00,D:\Mohoshin thesis\VTON-HD-full\results\alias_final\00592_04499_00.jpg,D:\Mohoshin thesis\VTON-HD-full\datasets\test\image\00592_00.jpg,0.8374165012061852,0.2429599165916443
